filename,cost,time (s),optimality gap (%)
tsp10-1,344,4.70114,10.256410256410255
tsp10-2,378,4.81084,16.666666666666664
tsp10-3,315,5.21977,8.24742268041237
tsp10-4,307,5.21907,0.0
tsp10-5,304,6.01092,13.857677902621724
tsp10-6,265,4.32480,3.9215686274509802
tsp10-7,389,4.80686,0.0
tsp10-8,404,5.32468,26.64576802507837
tsp10-9,346,5.11816,4.216867469879518
tsp10-10,293,17.50663,0.0
tsp10-11,317,16.27792,12.811387900355871
tsp10-12,242,7.26597,0.0
tsp10-13,284,5.83288,10.077519379844961
tsp10-14,308,5.83593,0.0
tsp10-15,377,7.57134,18.553459119496853
tsp10-16,280,5.73389,9.375
tsp10-17,258,5.42304,2.788844621513944
tsp10-18,311,5.93725,17.358490566037734
tsp10-19,270,5.21899,7.142857142857142
tsp10-20,199,6.03627,0.0
tsp10-21,325,6.96363,5.51948051948052
tsp10-22,355,4.81104,12.341772151898734
tsp10-23,287,4.80937,4.744525547445255
tsp10-24,272,12.28270,10.569105691056912
tsp10-25,289,7.37089,11.583011583011583
tsp10-26,329,5.72884,5.787781350482315
tsp10-27,263,5.11548,1.5444015444015444
tsp10-28,349,5.73462,12.580645161290322
tsp10-29,389,5.08409,12.427745664739884
tsp10-30,289,5.56113,14.682539682539684
tsp10-31,345,6.44852,16.554054054054053
tsp10-32,268,5.22001,6.349206349206349
tsp10-33,293,4.74540,3.169014084507042
tsp10-34,268,4.87458,0.0
tsp10-35,339,6.63781,20.212765957446805
tsp10-36,330,8.61622,21.771217712177123
tsp10-37,307,4.81288,12.043795620437956
tsp10-38,346,5.21503,16.89189189189189
tsp10-39,352,5.42601,17.333333333333336
tsp10-40,300,4.91256,0.0
tsp10-41,359,10.85204,28.214285714285715
tsp10-42,319,7.14418,13.523131672597867
tsp10-43,331,4.91628,14.930555555555555
tsp10-44,399,8.82170,28.29581993569132
tsp10-45,314,6.44819,0.964630225080386
tsp10-46,298,7.67861,16.40625
tsp10-47,309,4.91400,0.0
tsp10-48,336,5.31003,13.898305084745763
tsp10-49,302,3.90029,9.818181818181818
tsp10-50,282,6.75483,4.059040590405904
Mean,314.7,6.42575,9.962728577091438
