filename,cost,time (s),optimality gap (%)
tsp10-1,312,0.00364,0.0
tsp10-2,324,0.00391,0.0
tsp10-3,291,0.00348,0.0
tsp10-4,307,0.00379,0.0
tsp10-5,267,0.00564,0.0
tsp10-6,255,0.00362,0.0
tsp10-7,389,0.00531,0.0
tsp10-8,319,0.00356,0.0
tsp10-9,332,0.00565,0.0
tsp10-10,293,0.00353,0.0
tsp10-11,281,0.00546,0.0
tsp10-12,242,0.00347,0.0
tsp10-13,258,0.00553,0.0
tsp10-14,308,0.00347,0.0
tsp10-15,318,0.00542,0.0
tsp10-16,256,0.00347,0.0
tsp10-17,251,0.00348,0.0
tsp10-18,265,0.00347,0.0
tsp10-19,252,0.00356,0.0
tsp10-20,199,0.00348,0.0
tsp10-21,308,0.00398,0.0
tsp10-22,316,0.00363,0.0
tsp10-23,274,0.00407,0.0
tsp10-24,246,0.00542,0.0
tsp10-25,259,0.00354,0.0
tsp10-26,311,0.00548,0.0
tsp10-27,259,0.00339,0.0
tsp10-28,310,0.00534,0.0
tsp10-29,346,0.00344,0.0
tsp10-30,252,0.00588,0.0
tsp10-31,296,0.00358,0.0
tsp10-32,252,0.00554,0.0
tsp10-33,284,0.00387,0.0
tsp10-34,268,0.00338,0.0
tsp10-35,282,0.00334,0.0
tsp10-36,271,0.00353,0.0
tsp10-37,274,0.00330,0.0
tsp10-38,296,0.00349,0.0
tsp10-39,300,0.00336,0.0
tsp10-40,300,0.00355,0.0
tsp10-41,280,0.00536,0.0
tsp10-42,281,0.00371,0.0
tsp10-43,288,0.00555,0.0
tsp10-44,311,0.00359,0.0
tsp10-45,311,0.00568,0.0
tsp10-46,256,0.00352,0.0
tsp10-47,309,0.03073,0.0
tsp10-48,295,0.00349,0.0
tsp10-49,275,0.00548,0.0
tsp10-50,271,0.00355,0.0
Mean,286.0,0.00469,0.0
