filename,cost,time (s),optimality gap (%)
tsp30-1,620,0.00740,-
tsp30-2,569,0.00758,-
tsp30-3,639,0.00774,-
tsp30-4,570,0.00779,-
tsp30-5,640,0.00788,-
tsp30-6,542,0.00770,-
tsp30-7,552,0.00778,-
tsp30-8,476,0.00836,-
tsp30-9,581,0.00899,-
tsp30-10,595,0.00878,-
tsp30-11,522,0.00769,-
tsp30-12,476,0.00789,-
tsp30-13,590,0.00823,-
tsp30-14,539,0.00785,-
tsp30-15,530,0.00818,-
tsp30-16,479,0.00803,-
tsp30-17,603,0.00840,-
tsp30-18,601,0.00814,-
tsp30-19,509,0.00821,-
tsp30-20,559,0.00818,-
tsp30-21,450,0.00787,-
tsp30-22,612,0.00773,-
tsp30-23,486,0.00776,-
tsp30-24,572,0.00769,-
tsp30-25,579,0.00772,-
tsp30-26,522,0.00764,-
tsp30-27,518,0.00758,-
tsp30-28,599,0.00764,-
tsp30-29,462,0.00767,-
tsp30-30,539,0.00766,-
tsp30-31,519,0.00760,-
tsp30-32,569,0.00762,-
tsp30-33,552,0.00767,-
tsp30-34,671,0.00783,-
tsp30-35,604,0.00766,-
tsp30-36,492,0.00776,-
tsp30-37,568,0.00760,-
tsp30-38,585,0.00772,-
tsp30-39,578,0.00762,-
tsp30-40,554,0.00772,-
tsp30-41,554,0.00748,-
tsp30-42,542,0.00764,-
tsp30-43,589,0.00747,-
tsp30-44,515,0.00758,-
tsp30-45,528,0.00765,-
tsp30-46,566,0.00814,-
tsp30-47,585,0.00778,-
tsp30-48,556,0.00770,-
tsp30-49,525,0.00767,-
tsp30-50,597,0.00798,-
Mean,555.6,0.00783,-
