filename,cost,time (s),optimality gap (%)
tsp30-1,559,0.00796,-
tsp30-2,611,0.00771,-
tsp30-3,586,0.00779,-
tsp30-4,544,0.00781,-
tsp30-5,636,0.00779,-
tsp30-6,598,0.00779,-
tsp30-7,504,0.00786,-
tsp30-8,472,0.00776,-
tsp30-9,503,0.00792,-
tsp30-10,535,0.00783,-
tsp30-11,567,0.00784,-
tsp30-12,476,0.00780,-
tsp30-13,539,0.00795,-
tsp30-14,431,0.00774,-
tsp30-15,446,0.00784,-
tsp30-16,477,0.00788,-
tsp30-17,544,0.00780,-
tsp30-18,479,0.00786,-
tsp30-19,546,0.00781,-
tsp30-20,501,0.00783,-
tsp30-21,439,0.00784,-
tsp30-22,579,0.00783,-
tsp30-23,550,0.00786,-
tsp30-24,492,0.00777,-
tsp30-25,603,0.00792,-
tsp30-26,498,0.00789,-
tsp30-27,508,0.00787,-
tsp30-28,514,0.00783,-
tsp30-29,471,0.00787,-
tsp30-30,486,0.00791,-
tsp30-31,565,0.00784,-
tsp30-32,536,0.00785,-
tsp30-33,534,0.00783,-
tsp30-34,539,0.00789,-
tsp30-35,522,0.00787,-
tsp30-36,568,0.00776,-
tsp30-37,498,0.00785,-
tsp30-38,573,0.00774,-
tsp30-39,498,0.00781,-
tsp30-40,567,0.00791,-
tsp30-41,572,0.00779,-
tsp30-42,572,0.00785,-
tsp30-43,550,0.00784,-
tsp30-44,524,0.00792,-
tsp30-45,444,0.00775,-
tsp30-46,486,0.00785,-
tsp30-47,485,0.00786,-
tsp30-48,543,0.00787,-
tsp30-49,535,0.00782,-
tsp30-50,578,0.00790,-
Mean,527.66,0.00784,-
