filename,cost,time (s),optimality gap (%)
tsp30-1,1811,0.00754,-
tsp30-2,1571,0.00759,-
tsp30-3,1561,0.00739,-
tsp30-4,1505,0.00759,-
tsp30-5,1597,0.00763,-
tsp30-6,1471,0.00753,-
tsp30-7,1895,0.00758,-
tsp30-8,1339,0.00763,-
tsp30-9,1457,0.00754,-
tsp30-10,1537,0.00754,-
tsp30-11,1627,0.00741,-
tsp30-12,1319,0.00761,-
tsp30-13,1499,0.00753,-
tsp30-14,1299,0.00744,-
tsp30-15,1519,0.00770,-
tsp30-16,1644,0.00755,-
tsp30-17,1445,0.00771,-
tsp30-18,1789,0.00774,-
tsp30-19,1386,0.00773,-
tsp30-20,1454,0.00759,-
tsp30-21,1669,0.00757,-
tsp30-22,1647,0.00766,-
tsp30-23,1569,0.00753,-
tsp30-24,1562,0.00744,-
tsp30-25,1648,0.00753,-
tsp30-26,1677,0.00764,-
tsp30-27,1528,0.00753,-
tsp30-28,1823,0.00762,-
tsp30-29,1661,0.00754,-
tsp30-30,1491,0.00768,-
tsp30-31,1495,0.00777,-
tsp30-32,1569,0.00810,-
tsp30-33,1474,0.00774,-
tsp30-34,1756,0.00777,-
tsp30-35,1788,0.00766,-
tsp30-36,1447,0.00751,-
tsp30-37,1517,0.00753,-
tsp30-38,1872,0.00756,-
tsp30-39,1974,0.00745,-
tsp30-40,1609,0.00764,-
tsp30-41,1572,0.00751,-
tsp30-42,1425,0.00756,-
tsp30-43,1661,0.00748,-
tsp30-44,1730,0.00755,-
tsp30-45,1564,0.00763,-
tsp30-46,1614,0.00757,-
tsp30-47,1485,0.00743,-
tsp30-48,1631,0.00767,-
tsp30-49,1606,0.00765,-
tsp30-50,1491,0.00764,-
Mean,1585.6,0.00759,-
