filename,cost,time (s),optimality gap (%)
tsp30-1,637,6.37376,-
tsp30-2,839,5.72493,-
tsp30-3,899,17.40005,-
tsp30-4,619,4.80320,-
tsp30-5,622,5.52073,-
tsp30-6,608,6.03349,-
tsp30-7,764,6.64809,-
tsp30-8,607,6.85117,-
tsp30-9,642,6.24226,-
tsp30-10,730,5.52116,-
tsp30-11,677,6.03900,-
tsp30-12,662,4.90476,-
tsp30-13,660,4.69770,-
tsp30-14,598,11.87184,-
tsp30-15,703,6.64953,-
tsp30-16,654,6.85439,-
tsp30-17,546,9.51327,-
tsp30-18,606,5.93293,-
tsp30-19,630,7.56710,-
tsp30-20,592,34.36582,-
tsp30-21,548,7.29906,-
tsp30-22,687,5.92925,-
tsp30-23,692,4.50108,-
tsp30-24,649,11.76854,-
tsp30-25,772,4.60188,-
tsp30-26,673,4.80111,-
tsp30-27,681,5.82791,-
tsp30-28,725,5.42134,-
tsp30-29,683,4.49852,-
tsp30-30,578,5.24469,-
tsp30-31,534,8.15287,-
tsp30-32,574,6.75290,-
tsp30-33,522,19.24243,-
tsp30-34,596,5.07622,-
tsp30-35,848,10.88258,-
tsp30-36,619,15.04512,-
tsp30-37,617,6.23977,-
tsp30-38,690,12.07316,-
tsp30-39,594,5.40450,-
tsp30-40,715,5.73981,-
tsp30-41,779,4.55494,-
tsp30-42,621,13.03725,-
tsp30-43,635,8.69554,-
tsp30-44,695,6.13662,-
tsp30-45,628,14.52743,-
tsp30-46,648,5.52298,-
tsp30-47,623,10.01995,-
tsp30-48,752,6.85389,-
tsp30-49,657,6.54609,-
tsp30-50,662,5.31502,-
Mean,659.84,8.10455,-
