trial,cost,time (s),optimality gap (%)
1,484,11.76074,19.21182
2,509,11.25443,25.36946
3,498,6.74709,22.6601
4,484,7.05204,19.21182
5,542,6.03236,33.49754
6,472,10.92559,16.25616
7,525,10.76325,29.31034
8,567,20.36812,39.65517
9,454,12.07154,11.82266
10,553,8.48027,36.2069
mean,508.8,10.54554,25.3202
variance,1378.84444,16.91664,83.64948
max,567.0,20.36812,39.65517
min,454.0,6.03236,11.82266
range,113.0,14.33576,27.83251
