trial,cost,time (s),optimality gap (%)
1,350,4.74554,16.66667
2,375,4.75661,25.0
3,352,5.5257,17.33333
4,370,5.44783,23.33333
5,319,5.56883,6.33333
6,326,6.38349,8.66667
7,309,5.48436,3.0
8,320,5.25817,6.66667
9,326,4.81204,8.66667
10,319,6.62948,6.33333
mean,336.6,5.46121,12.2
variance,543.15556,0.41147,60.35061
max,375.0,6.62948,25.0
min,309.0,4.74554,3.0
range,66.0,1.88394,22.0
