filename,cost,time (s),optimality gap (%)
tsp5-1,211,5.19104,0.9569377990430622
tsp5-2,295,9.95546,11.742424242424242
tsp5-3,265,5.29985,0.0
tsp5-4,230,5.20674,34.50292397660819
tsp5-5,221,4.82474,0.0
tsp5-6,214,5.11816,0.0
tsp5-7,190,6.45025,0.5291005291005291
tsp5-8,297,4.87340,18.8
tsp5-9,252,3.31640,0.0
tsp5-10,273,7.78013,0.0
tsp5-11,129,5.11726,0.0
tsp5-12,134,5.73216,7.199999999999999
tsp5-13,259,5.62991,0.0
tsp5-14,222,7.20226,2.7777777777777777
tsp5-15,255,5.38800,1.593625498007968
tsp5-16,280,5.11255,0.35842293906810035
tsp5-17,217,4.89783,10.152284263959391
tsp5-18,266,7.18681,0.0
tsp5-19,239,6.03960,13.270142180094787
tsp5-20,187,6.04026,10.650887573964498
tsp5-21,185,6.24181,0.0
tsp5-22,245,8.70212,0.0
tsp5-23,236,5.42572,1.2875536480686696
tsp5-24,268,9.14298,10.2880658436214
tsp5-25,206,7.13272,0.9803921568627451
tsp5-26,303,4.91272,22.177419354838708
tsp5-27,242,5.42488,0.0
tsp5-28,212,4.91284,4.9504950495049505
tsp5-29,248,3.23198,0.0
tsp5-30,142,5.77663,1.4285714285714286
tsp5-31,249,5.25504,0.0
tsp5-32,206,4.87623,11.956521739130435
tsp5-33,159,4.69533,4.605263157894736
tsp5-34,266,5.02911,13.675213675213676
tsp5-35,155,5.73395,0.0
tsp5-36,210,3.99375,5.0
tsp5-37,271,5.01368,8.4
tsp5-38,221,5.21639,0.0
tsp5-39,277,8.08939,4.528301886792453
tsp5-40,204,6.89579,0.0
tsp5-41,243,4.98459,4.741379310344827
tsp5-42,220,5.51588,0.0
tsp5-43,180,5.14146,0.0
tsp5-44,243,8.59284,14.084507042253522
tsp5-45,231,5.52823,0.0
tsp5-46,207,4.81263,0.0
tsp5-47,176,9.61926,0.0
tsp5-48,264,5.51449,0.0
tsp5-49,170,5.98629,0.0
tsp5-50,213,4.77469,13.297872340425531
Mean,225.76,5.85072,4.678721668271433
