filename,cost,time (s),optimality gap (%)
tsp5-1,209,30.99936,0.0
tsp5-2,264,49.25750,0.0
tsp5-3,265,58.36656,0.0
tsp5-4,171,23.94060,0.0
tsp5-5,221,40.46748,0.0
tsp5-6,214,64.91991,0.0
tsp5-7,189,91.44510,0.0
tsp5-8,250,50.27590,0.0
tsp5-9,252,25.90608,0.0
tsp5-10,273,42.80214,0.0
tsp5-11,129,38.60354,0.0
