filename,cost,time (s),optimality gap (%)
tsp5-1,211,0.00004,0.9569377990430622
tsp5-2,299,0.00004,13.257575757575758
tsp5-3,266,0.00004,0.37735849056603776
tsp5-4,171,0.00004,0.0
tsp5-5,221,0.00004,0.0
tsp5-6,214,0.00004,0.0
tsp5-7,190,0.00004,0.5291005291005291
tsp5-8,271,0.00004,8.4
tsp5-9,252,0.00004,0.0
tsp5-10,273,0.00004,0.0
tsp5-11,129,0.00005,0.0
tsp5-12,125,0.00004,0.0
tsp5-13,294,0.00004,13.513513513513514
tsp5-14,216,0.00004,0.0
tsp5-15,251,0.00004,0.0
tsp5-16,280,0.00004,0.35842293906810035
tsp5-17,197,0.00004,0.0
tsp5-18,266,0.00004,0.0
tsp5-19,233,0.00004,10.42654028436019
tsp5-20,187,0.00004,10.650887573964498
tsp5-21,185,0.00004,0.0
tsp5-22,250,0.00004,2.0408163265306123
tsp5-23,236,0.00005,1.2875536480686696
tsp5-24,243,0.00005,0.0
tsp5-25,206,0.00005,0.9803921568627451
tsp5-26,257,0.00004,3.6290322580645165
tsp5-27,252,0.00004,4.132231404958678
tsp5-28,202,0.00004,0.0
tsp5-29,248,0.00005,0.0
tsp5-30,140,0.00004,0.0
tsp5-31,249,0.00004,0.0
tsp5-32,184,0.00004,0.0
tsp5-33,152,0.00004,0.0
tsp5-34,260,0.00004,11.11111111111111
tsp5-35,155,0.00004,0.0
tsp5-36,211,0.00004,5.5
tsp5-37,271,0.00004,8.4
tsp5-38,221,0.00004,0.0
tsp5-39,277,0.00004,4.528301886792453
tsp5-40,204,0.00004,0.0
tsp5-41,243,0.00004,4.741379310344827
tsp5-42,220,0.00004,0.0
tsp5-43,180,0.00004,0.0
tsp5-44,243,0.00005,14.084507042253522
tsp5-45,246,0.00004,6.493506493506493
tsp5-46,207,0.00004,0.0
tsp5-47,196,0.00004,11.363636363636363
tsp5-48,274,0.00004,3.787878787878788
tsp5-49,170,0.00004,0.0
tsp5-50,202,0.00004,7.446808510638298
Mean,222.6,0.00004,2.959949843756775
