filename,cost,time (s),optimality gap (%)
tsp20-1,942,0.95164,141.5385
tsp20-10,1036,0.92637,157.7114
tsp20-11,852,0.96430,130.8943
tsp20-12,1126,0.93212,155.9091
tsp20-13,965,0.88471,160.8108
tsp20-14,1047,0.94313,151.0791
tsp20-15,957,0.96402,151.8421
tsp20-16,1296,0.91805,208.5714
tsp20-17,1252,0.93371,235.6568
tsp20-18,837,0.92795,103.1553
tsp20-19,1111,0.97989,209.4708
tsp20-2,899,0.90674,145.6284
tsp20-20,1116,0.92441,192.1466
tsp20-21,1278,0.93497,183.3703
tsp20-22,1031,0.94604,213.3739
tsp20-23,1098,0.93891,193.5829
tsp20-24,1116,0.98609,155.9633
tsp20-25,988,0.95153,160.0000
tsp20-26,1044,0.91660,174.0157
tsp20-27,1119,0.94772,175.6158
tsp20-28,880,0.95328,118.3623
tsp20-29,1106,0.95170,196.5147
tsp20-3,1181,0.92120,197.4811
tsp20-30,1015,0.95771,146.3592
tsp20-31,853,0.90637,117.0483
tsp20-32,648,0.92300,66.1538
tsp20-33,1206,0.89715,247.5504
tsp20-34,1052,0.97129,168.3673
tsp20-35,1010,0.90339,155.0505
tsp20-36,1252,0.91074,203.8835
tsp20-37,1407,0.95343,244.8529
tsp20-38,1021,0.93347,215.1235
tsp20-39,1063,0.92107,206.3401
tsp20-4,1219,0.91501,184.8131
tsp20-40,958,0.95462,150.1305
tsp20-41,790,0.94501,111.7962
tsp20-42,1208,0.90187,164.3326
tsp20-43,1101,0.94882,179.4416
tsp20-44,874,1.00487,151.1494
tsp20-45,923,0.92704,114.1531
tsp20-46,1103,0.90742,188.7435
tsp20-47,990,0.94850,168.2927
tsp20-48,1121,0.94197,209.6685
tsp20-49,912,0.95566,155.4622
tsp20-5,1041,0.95779,220.3077
tsp20-50,1108,0.91476,225.8824
tsp20-6,925,0.91830,172.0588
tsp20-7,1134,0.95060,178.6241
tsp20-8,1035,0.94094,179.7297
tsp20-9,841,0.98165,173.0519
Mean,1041.74,0.93795,172.2212
